id,category,amount
7856,Home,100
7857,Electronics,50
7858,Clothing,200
7859,Home,20
7860,Electronics,100
7861,Clothing,50
7862,Home,200
7863,Electronics,20
7864,Clothing,100
7865,Home,50
7866,Electronics,200
7867,Clothing,20
7868,Home,100
7869,Electronics,50
7870,Clothing,200
7871,Home,20
7872,Electronics,100
7873,Clothing,50
7874,Home,200
7875,Electronics,20
7876,Clothing,100
7877,Home,50
7878,Electronics,200
7879,Clothing,20
7880,Home,100
7881,Electronics,50
7882,Clothing,200
7883,Home,20
7884,Electronics,100
7885,Clothing,50
7886,Home,200
7887,Electronics,20
7888,Clothing,100
7889,Home,50
7890,Electronics,200
7891,Clothing,20
7892,Home,100
7893,Electronics,50
7894,Clothing,200
7895,Home,20
7896,Electronics,100
7897,Clothing,50
7898,Home,200
7899,Electronics,20
7900,Clothing,100
7901,Home,50
7902,Electronics,200
7903,Clothing,20
7904,Home,100
7905,Electronics,50
7906,Clothing,200
7907,Home,20
7908,Electronics,100
7909,Clothing,50
7910,Home,200
7911,Electronics,20
7912,Clothing,100
7913,Home,50
7914,Electronics,200
7915,Clothing,20
7916,Home,100
7917,Electronics,50
7918,Clothing,200
7919,Home,20
7920,Electronics,100
7921,Clothing,50
7922,Home,200
7923,Electronics,20
7924,Clothing,100
7925,Home,50
7926,Electronics,200
7927,Clothing,20
7928,Home,100
7929,Electronics,50
7930,Clothing,200
7931,Home,20
7932,Electronics,100
7933,Clothing,50
7934,Home,200
7935,Electronics,20
7936,Clothing,100
7937,Home,50
7938,Electronics,200
7939,Clothing,20
7940,Home,100
7941,Electronics,50
7942,Clothing,200
7943,Home,20
7944,Electronics,100
7945,Clothing,50
7946,Home,200
7947,Electronics,20
7948,Clothing,100
7949,Home,50
7950,Electronics,200
7951,Clothing,20
7952,Home,100
7953,Electronics,50
7954,Clothing,200
7955,Home,20
7956,Electronics,100
7957,Clothing,50
7958,Home,200
7959,Electronics,20
7960,Clothing,100
7961,Home,50
7962,Electronics,200
7963,Clothing,20
7964,Home,100
7965,Electronics,50
7966,Clothing,200
7967,Home,20
7968,Electronics,100
7969,Clothing,50
7970,Home,200
7971,Electronics,20
7972,Clothing,100
7973,Home,50
7974,Electronics,200
7975,Clothing,20
7976,Home,100
7977,Electronics,50
7978,Clothing,200
7979,Home,20
7980,Electronics,100
7981,Clothing,50
7982,Home,200
7983,Electronics,20
7984,Clothing,100
7985,Home,50
7986,Electronics,200
7987,Clothing,20
7988,Home,100
7989,Electronics,50
7990,Clothing,200
7991,Home,20
7992,Electronics,100
7993,Clothing,50
7994,Home,200
7995,Electronics,20
7996,Clothing,100
7997,Home,50
7998,Electronics,200
7999,Clothing,20
8000,Home,100
8001,Electronics,50
8002,Clothing,200
8003,Home,20
8004,Electronics,100
8005,Clothing,50
8006,Home,200
8007,Electronics,20
8008,Clothing,100
8009,Home,50
8010,Electronics,200
8011,Clothing,20
8012,Home,100
8013,Electronics,50
8014,Clothing,200
8015,Home,20
8016,Electronics,100
8017,Clothing,50
8018,Home,200
8019,Electronics,20
8020,Clothing,100
8021,Home,50
8022,Electronics,200
8023,Clothing,20
8024,Home,100
8025,Electronics,50
8026,Clothing,200
8027,Home,20
8028,Electronics,100
8029,Clothing,50
8030,Home,200
8031,Electronics,20
8032,Clothing,100
8033,Home,50
8034,Electronics,200
8035,Clothing,20
8036,Home,100
8037,Electronics,50
8038,Clothing,200
8039,Home,20
8040,Electronics,100
8041,Clothing,50
8042,Home,200
8043,Electronics,20
8044,Clothing,100
8045,Home,50
8046,Electronics,200
8047,Clothing,20
8048,Home,100
8049,Electronics,50
8050,Clothing,200
8051,Home,20
8052,Electronics,100
8053,Clothing,50
8054,Home,200
8055,Electronics,20
8056,Clothing,100
8057,Home,50
8058,Electronics,200
8059,Clothing,20
8060,Home,100
8061,Electronics,50
8062,Clothing,200
8063,Home,20
8064,Electronics,100
8065,Clothing,50
8066,Home,200
8067,Electronics,20
8068,Clothing,100
8069,Home,50
8070,Electronics,200
8071,Clothing,20
8072,Home,100
8073,Electronics,50
8074,Clothing,200
8075,Home,20
8076,Electronics,100
8077,Clothing,50
8078,Home,200
8079,Electronics,20
8080,Clothing,100
8081,Home,50
8082,Electronics,200
8083,Clothing,20
8084,Home,100
8085,Electronics,50
8086,Clothing,200
8087,Home,20
8088,Electronics,100
8089,Clothing,50
8090,Home,200
8091,Electronics,20
8092,Clothing,100
8093,Home,50
8094,Electronics,200
8095,Clothing,20
8096,Home,100
8097,Electronics,50
8098,Clothing,200
8099,Home,20
8100,Electronics,100
8101,Clothing,50
8102,Home,200
8103,Electronics,20
8104,Clothing,100
8105,Home,50
8106,Electronics,200
8107,Clothing,20
8108,Home,100
8109,Electronics,50
8110,Clothing,200
8111,Home,20
8112,Electronics,100
8113,Clothing,50
8114,Home,200
8115,Electronics,20
8116,Clothing,100
8117,Home,50
8118,Electronics,200
8119,Clothing,20
8120,Home,100
8121,Electronics,50
8122,Clothing,200
8123,Home,20
8124,Electronics,100
8125,Clothing,50
8126,Home,200
8127,Electronics,20
8128,Clothing,100
8129,Home,50
8130,Electronics,200
8131,Clothing,20
8132,Home,100
8133,Electronics,50
8134,Clothing,200
8135,Home,20
8136,Electronics,100
8137,Clothing,50
8138,Home,200
8139,Electronics,20
8140,Clothing,100
8141,Home,50
8142,Electronics,200
8143,Clothing,20
8144,Home,100
8145,Electronics,50
8146,Clothing,200
8147,Home,20
8148,Electronics,100
8149,Clothing,50
8150,Home,200
8151,Electronics,20
8152,Clothing,100
8153,Home,50
8154,Electronics,200
8155,Clothing,20
8156,Home,100
8157,Electronics,50
8158,Clothing,200
8159,Home,20
8160,Electronics,100
8161,Clothing,50
8162,Home,200
8163,Electronics,20
8164,Clothing,100
8165,Home,50
8166,Electronics,200
8167,Clothing,20
8168,Home,100
8169,Electronics,50
8170,Clothing,200
8171,Home,20
8172,Electronics,100
8173,Clothing,50
8174,Home,200
8175,Electronics,20
8176,Clothing,100
8177,Home,50
8178,Electronics,200
8179,Clothing,20
8180,Home,100
8181,Electronics,50
8182,Clothing,200
8183,Home,20
8184,Electronics,100
8185,Clothing,50
8186,Home,200
8187,Electronics,20
8188,Clothing,100
8189,Home,50
8190,Electronics,200
8191,Clothing,20
8192,Home,100
8193,Electronics,50
8194,Clothing,200
8195,Home,20
8196,Electronics,100
8197,Clothing,50
8198,Home,200
8199,Electronics,20
8200,Clothing,100
8201,Home,50
8202,Electronics,200
8203,Clothing,20
8204,Home,100
8205,Electronics,50
8206,Clothing,200
8207,Home,20
8208,Electronics,100
8209,Clothing,50
8210,Home,200
8211,Electronics,20
8212,Clothing,100
8213,Home,50
8214,Electronics,200
8215,Clothing,20
8216,Home,100
8217,Electronics,50
8218,Clothing,200
8219,Home,20
8220,Electronics,100
8221,Clothing,50
8222,Home,200
8223,Electronics,20
8224,Clothing,100
8225,Home,50
8226,Electronics,200
8227,Clothing,20
8228,Home,100
8229,Electronics,50
8230,Clothing,200
8231,Home,20
8232,Electronics,100
8233,Clothing,50
8234,Home,200
8235,Electronics,20
8236,Clothing,100
8237,Home,50
8238,Electronics,200
8239,Clothing,20
8240,Home,100
8241,Electronics,50
8242,Clothing,200
8243,Home,20
8244,Electronics,100
8245,Clothing,50
8246,Home,200
8247,Electronics,20
8248,Clothing,100
8249,Home,50
8250,Electronics,200
8251,Clothing,20
8252,Home,100
8253,Electronics,50
8254,Clothing,200
8255,Home,20
8256,Electronics,100
8257,Clothing,50
8258,Home,200
8259,Electronics,20
8260,Clothing,100
8261,Home,50
8262,Electronics,200
8263,Clothing,20
8264,Home,100
8265,Electronics,50
8266,Clothing,200
8267,Home,20
8268,Electronics,100
8269,Clothing,50
8270,Home,200
8271,Electronics,20
8272,Clothing,100
8273,Home,50
8274,Electronics,200
8275,Clothing,20
8276,Home,100
8277,Electronics,50
8278,Clothing,200
8279,Home,20
8280,Electronics,100
8281,Clothing,50
8282,Home,200
8283,Electronics,20
8284,Clothing,100
8285,Home,50
8286,Electronics,200
8287,Clothing,20
8288,Home,100
8289,Electronics,50
8290,Clothing,200
8291,Home,20
8292,Electronics,100
8293,Clothing,50
8294,Home,200
8295,Electronics,20
8296,Clothing,100
8297,Home,50
8298,Electronics,200
8299,Clothing,20
8300,Home,100
8301,Electronics,50
8302,Clothing,200
8303,Home,20
8304,Electronics,100
8305,Clothing,50
8306,Home,200
8307,Electronics,20
8308,Clothing,100
8309,Home,50
8310,Electronics,200
8311,Clothing,20
8312,Home,100
8313,Electronics,50
8314,Clothing,200
8315,Home,20
8316,Electronics,100
8317,Clothing,50
8318,Home,200
8319,Electronics,20
8320,Clothing,100
8321,Home,50
8322,Electronics,200
8323,Clothing,20
8324,Home,100
8325,Electronics,50
8326,Clothing,200
8327,Home,20
8328,Electronics,100
8329,Clothing,50
8330,Home,200
8331,Electronics,20
8332,Clothing,100
8333,Home,50
8334,Electronics,200
8335,Clothing,20
8336,Home,100
8337,Electronics,50
8338,Clothing,200
8339,Home,20
8340,Electronics,100
8341,Clothing,50
8342,Home,200
8343,Electronics,20
8344,Clothing,100
8345,Home,50
8346,Electronics,200
8347,Clothing,20
8348,Home,100
8349,Electronics,50
8350,Clothing,200
8351,Home,20
8352,Electronics,100
8353,Clothing,50
8354,Home,200
8355,Electronics,20
8356,Clothing,100
8357,Home,50
8358,Electronics,200
8359,Clothing,20
8360,Home,100
8361,Electronics,50
8362,Clothing,200
8363,Home,20
8364,Electronics,100
8365,Clothing,50
8366,Home,200
8367,Electronics,20
8368,Clothing,100
8369,Home,50
8370,Electronics,200
8371,Clothing,20
8372,Home,100
8373,Electronics,50
8374,Clothing,200
8375,Home,20
8376,Electronics,100
8377,Clothing,50
8378,Home,200
8379,Electronics,20
8380,Clothing,100
8381,Home,50
8382,Electronics,200
8383,Clothing,20
8384,Home,100
8385,Electronics,50
8386,Clothing,200
8387,Home,20
8388,Electronics,100
8389,Clothing,50
8390,Home,200
8391,Electronics,20
8392,Clothing,100
8393,Home,50
8394,Electronics,200
8395,Clothing,20
8396,Home,100
8397,Electronics,50
8398,Clothing,200
8399,Home,20
8400,Electronics,100
8401,Clothing,50
8402,Home,200
8403,Electronics,20
8404,Clothing,100
8405,Home,50
8406,Electronics,200
8407,Clothing,20
8408,Home,100
8409,Electronics,50
8410,Clothing,200
8411,Home,20
8412,Electronics,100
8413,Clothing,50
8414,Home,200
8415,Electronics,20
8416,Clothing,100
8417,Home,50
8418,Electronics,200
8419,Clothing,20
8420,Home,100
8421,Electronics,50
8422,Clothing,200
8423,Home,20
8424,Electronics,100
8425,Clothing,50
8426,Home,200
8427,Electronics,20
8428,Clothing,100
8429,Home,50
8430,Electronics,200
8431,Clothing,20
8432,Home,100
8433,Electronics,50
8434,Clothing,200
8435,Home,20
8436,Electronics,100
8437,Clothing,50
8438,Home,200
8439,Electronics,20
8440,Clothing,100
8441,Home,50
8442,Electronics,200
8443,Clothing,20
8444,Home,100
8445,Electronics,50
8446,Clothing,200
8447,Home,20
8448,Electronics,100
8449,Clothing,50
8450,Home,200
8451,Electronics,20
8452,Clothing,100
8453,Home,50
8454,Electronics,200
8455,Clothing,20
8456,Home,100
8457,Electronics,50
8458,Clothing,200
8459,Home,20
8460,Electronics,100
8461,Clothing,50
8462,Home,200
8463,Electronics,20
8464,Clothing,100
8465,Home,50
8466,Electronics,200
8467,Clothing,20
8468,Home,100
8469,Electronics,50
8470,Clothing,200
8471,Home,20
8472,Electronics,100
8473,Clothing,50
8474,Home,200
8475,Electronics,20
8476,Clothing,100
8477,Home,50
8478,Electronics,200
8479,Clothing,20
8480,Home,100
8481,Electronics,50
8482,Clothing,200
8483,Home,20
8484,Electronics,100
8485,Clothing,50
8486,Home,200
8487,Electronics,20
8488,Clothing,100
8489,Home,50
8490,Electronics,200
8491,Clothing,20
8492,Home,100
8493,Electronics,50
8494,Clothing,200
8495,Home,20
8496,Electronics,100
8497,Clothing,50
8498,Home,200
8499,Electronics,20
8500,Clothing,100
8501,Home,50
8502,Electronics,200
8503,Clothing,20
8504,Home,100
8505,Electronics,50
8506,Clothing,200
8507,Home,20
8508,Electronics,100
8509,Clothing,50
8510,Home,200
8511,Electronics,20
8512,Clothing,100
8513,Home,50
8514,Electronics,200
8515,Clothing,20
8516,Home,100
8517,Electronics,50
8518,Clothing,200
8519,Home,20
8520,Electronics,100
8521,Clothing,50
8522,Home,200
8523,Electronics,20
8524,Clothing,100
8525,Home,50
8526,Electronics,200
8527,Clothing,20
8528,Home,100
8529,Electronics,50
8530,Clothing,200
8531,Home,20
8532,Electronics,100
8533,Clothing,50
8534,Home,200
8535,Electronics,20
8536,Clothing,100
8537,Home,50
8538,Electronics,200
8539,Clothing,20
8540,Home,100
8541,Electronics,50
8542,Clothing,200
8543,Home,20
8544,Electronics,100
8545,Clothing,50
8546,Home,200
8547,Electronics,20
8548,Clothing,100
8549,Home,50
8550,Electronics,200
8551,Clothing,20
8552,Home,100
8553,Electronics,50
8554,Clothing,200
8555,Home,20
8556,Electronics,100
8557,Clothing,50
8558,Home,200
8559,Electronics,20
8560,Clothing,100
8561,Home,50
8562,Electronics,200
8563,Clothing,20
8564,Home,100
8565,Electronics,50
8566,Clothing,200
8567,Home,20
8568,Electronics,100
8569,Clothing,50
8570,Home,200
8571,Electronics,20
8572,Clothing,100
8573,Home,50
8574,Electronics,200
8575,Clothing,20
8576,Home,100
8577,Electronics,50
8578,Clothing,200
8579,Home,20
8580,Electronics,100
8581,Clothing,50
8582,Home,200
8583,Electronics,20
8584,Clothing,100
8585,Home,50
8586,Electronics,200
8587,Clothing,20
8588,Home,100
8589,Electronics,50
8590,Clothing,200
8591,Home,20
8592,Electronics,100
8593,Clothing,50
8594,Home,200
8595,Electronics,20
8596,Clothing,100
8597,Home,50
8598,Electronics,200
8599,Clothing,20
8600,Home,100
8601,Electronics,50
8602,Clothing,200
8603,Home,20
8604,Electronics,100
8605,Clothing,50
8606,Home,200
8607,Electronics,20
8608,Clothing,100
8609,Home,50
8610,Electronics,200
8611,Clothing,20
8612,Home,100
8613,Electronics,50
8614,Clothing,200
8615,Home,20
8616,Electronics,100
8617,Clothing,50
8618,Home,200
8619,Electronics,20
8620,Clothing,100
8621,Home,50
8622,Electronics,200
8623,Clothing,20
8624,Home,100
8625,Electronics,50
8626,Clothing,200
8627,Home,20
8628,Electronics,100
8629,Clothing,50
8630,Home,200
8631,Electronics,20
8632,Clothing,100
8633,Home,50
8634,Electronics,200
8635,Clothing,20
8636,Home,100
8637,Electronics,50
8638,Clothing,200
8639,Home,20
8640,Electronics,100
8641,Clothing,50
8642,Home,200
8643,Electronics,20
8644,Clothing,100
8645,Home,50
8646,Electronics,200
8647,Clothing,20
8648,Home,100
8649,Electronics,50
8650,Clothing,200
8651,Home,20
8652,Electronics,100
8653,Clothing,50
8654,Home,200
8655,Electronics,20
8656,Clothing,100
8657,Home,50
8658,Electronics,200
8659,Clothing,20
8660,Home,100
8661,Electronics,50
8662,Clothing,200
8663,Home,20
8664,Electronics,100
8665,Clothing,50
8666,Home,200
8667,Electronics,20
8668,Clothing,100
8669,Home,50
8670,Electronics,200
8671,Clothing,20
8672,Home,100
8673,Electronics,50
8674,Clothing,200
8675,Home,20
8676,Electronics,100
8677,Clothing,50
8678,Home,200
8679,Electronics,20
8680,Clothing,100
8681,Home,50
8682,Electronics,200
8683,Clothing,20
8684,Home,100
8685,Electronics,50
8686,Clothing,200
8687,Home,20
8688,Electronics,100
8689,Clothing,50
8690,Home,200
8691,Electronics,20
8692,Clothing,100
8693,Home,50
8694,Electronics,200
8695,Clothing,20
8696,Home,100
8697,Electronics,50
8698,Clothing,200
8699,Home,20
8700,Electronics,100
8701,Clothing,50
8702,Home,200
8703,Electronics,20
8704,Clothing,100
8705,Home,50
8706,Electronics,200
8707,Clothing,20
8708,Home,100
8709,Electronics,50
8710,Clothing,200
8711,Home,20
8712,Electronics,100
8713,Clothing,50
8714,Home,200
8715,Electronics,20
8716,Clothing,100
8717,Home,50
8718,Electronics,200
8719,Clothing,20
8720,Home,100
8721,Electronics,50
8722,Clothing,200
8723,Home,20
8724,Electronics,100
8725,Clothing,50
8726,Home,200
8727,Electronics,20
8728,Clothing,100
8729,Home,50
8730,Electronics,200
8731,Clothing,20
8732,Home,100
8733,Electronics,50
8734,Clothing,200
8735,Home,20
8736,Electronics,100
8737,Clothing,50
8738,Home,200
8739,Electronics,20
8740,Clothing,100
8741,Home,50
8742,Electronics,200
8743,Clothing,20
8744,Home,100
8745,Electronics,50
8746,Clothing,200
8747,Home,20
8748,Electronics,100
8749,Clothing,50
8750,Home,200
8751,Electronics,20
8752,Clothing,100
8753,Home,50
8754,Electronics,200
8755,Clothing,20
8756,Home,100
8757,Electronics,50
8758,Clothing,200
8759,Home,20
8760,Electronics,100
8761,Clothing,50
8762,Home,200
8763,Electronics,20
8764,Clothing,100
8765,Home,50
8766,Electronics,200
8767,Clothing,20
8768,Home,100
8769,Electronics,50
8770,Clothing,200
8771,Home,20
8772,Electronics,100
8773,Clothing,50
8774,Home,200
8775,Electronics,20
8776,Clothing,100
8777,Home,50
8778,Electronics,200
8779,Clothing,20
8780,Home,100
8781,Electronics,50
8782,Clothing,200
8783,Home,20
8784,Electronics,100
8785,Clothing,50
8786,Home,200
8787,Electronics,20
8788,Clothing,100
8789,Home,50
8790,Electronics,200
8791,Clothing,20
8792,Home,100
8793,Electronics,50
8794,Clothing,200
8795,Home,20
8796,Electronics,100
8797,Clothing,50
8798,Home,200
8799,Electronics,20
8800,Clothing,100
8801,Home,50
8802,Electronics,200
8803,Clothing,20
8804,Home,100
8805,Electronics,50
8806,Clothing,200
8807,Home,20
8808,Electronics,100
8809,Clothing,50
8810,Home,200
8811,Electronics,20
8812,Clothing,100
8813,Home,50
8814,Electronics,200
8815,Clothing,20
8816,Home,100
8817,Electronics,50
8818,Clothing,200
8819,Home,20
8820,Electronics,100
8821,Clothing,50
8822,Home,200
8823,Electronics,20
8824,Clothing,100
8825,Home,50
8826,Electronics,200
8827,Clothing,20
8828,Home,100
8829,Electronics,50
8830,Clothing,200
8831,Home,20
8832,Electronics,100
8833,Clothing,50
8834,Home,200
8835,Electronics,20
8836,Clothing,100
8837,Home,50
8838,Electronics,200
8839,Clothing,20
8840,Home,100
8841,Electronics,50
8842,Clothing,200
8843,Home,20
8844,Electronics,100
8845,Clothing,50
8846,Home,200
8847,Electronics,20
8848,Clothing,100
8849,Home,50
8850,Electronics,200
8851,Clothing,20
8852,Home,100
8853,Electronics,50
8854,Clothing,200
8855,Home,20
8856,Electronics,100
8857,Clothing,50
8858,Home,200
8859,Electronics,20
8860,Clothing,100
8861,Home,50
8862,Electronics,200
8863,Clothing,20
8864,Home,100
8865,Electronics,50
8866,Clothing,200
8867,Home,20
8868,Electronics,100
8869,Clothing,50
8870,Home,200
8871,Electronics,20
8872,Clothing,100
8873,Home,50
8874,Electronics,200
8875,Clothing,20
8876,Home,100
8877,Electronics,50
8878,Clothing,200
8879,Home,20
8880,Electronics,100
8881,Clothing,50
8882,Home,200
8883,Electronics,20
8884,Clothing,100
8885,Home,50
8886,Electronics,200
8887,Clothing,20
8888,Home,100
8889,Electronics,50
8890,Clothing,200
8891,Home,20
8892,Electronics,100
8893,Clothing,50
8894,Home,200
8895,Electronics,20
8896,Clothing,100
8897,Home,50
8898,Electronics,200
8899,Clothing,20
8900,Home,100
8901,Electronics,50
8902,Clothing,200
8903,Home,20
8904,Electronics,100
8905,Clothing,50
8906,Home,200
8907,Electronics,20
8908,Clothing,100
8909,Home,50
8910,Electronics,200
8911,Clothing,20
8912,Home,100
8913,Electronics,50
8914,Clothing,200
8915,Home,20
8916,Electronics,100
8917,Clothing,50
8918,Home,200
8919,Electronics,20
8920,Clothing,100
8921,Home,50
8922,Electronics,200
8923,Clothing,20
8924,Home,100
8925,Electronics,50
8926,Clothing,200
8927,Home,20
8928,Electronics,100
8929,Clothing,50
8930,Home,200
8931,Electronics,20
8932,Clothing,100
8933,Home,50
8934,Electronics,200
8935,Clothing,20
8936,Home,100
8937,Electronics,50
8938,Clothing,200
8939,Home,20
8940,Electronics,100
8941,Clothing,50
8942,Home,200
8943,Electronics,20
8944,Clothing,100
8945,Home,50
8946,Electronics,200
8947,Clothing,20
8948,Home,100
8949,Electronics,50
8950,Clothing,200
8951,Home,20
8952,Electronics,100
8953,Clothing,50
8954,Home,200
8955,Electronics,20
8956,Clothing,100
8957,Home,50
8958,Electronics,200
8959,Clothing,20
8960,Home,100
8961,Electronics,50
8962,Clothing,200
8963,Home,20
8964,Electronics,100
8965,Clothing,50
8966,Home,200
8967,Electronics,20
8968,Clothing,100
8969,Home,50
8970,Electronics,200
8971,Clothing,20
8972,Home,100
8973,Electronics,50
8974,Clothing,200
8975,Home,20
8976,Electronics,100
8977,Clothing,50
8978,Home,200
8979,Electronics,20
8980,Clothing,100
8981,Home,50
8982,Electronics,200
8983,Clothing,20
8984,Home,100
8985,Electronics,50
8986,Clothing,200
8987,Home,20
8988,Electronics,100
8989,Clothing,50
8990,Home,200
8991,Electronics,20
8992,Clothing,100
8993,Home,50
8994,Electronics,200
8995,Clothing,20
8996,Home,100
8997,Electronics,50
8998,Clothing,200
8999,Home,20
9000,Electronics,100
9001,Clothing,50
9002,Home,200
9003,Electronics,20
9004,Clothing,100
9005,Home,50
9006,Electronics,200
9007,Clothing,20
9008,Home,100
9009,Electronics,50
9010,Clothing,200
9011,Home,20
9012,Electronics,100
9013,Clothing,50
9014,Home,200
9015,Electronics,20
9016,Clothing,100
9017,Home,50
9018,Electronics,200
9019,Clothing,20
9020,Home,100
9021,Electronics,50
9022,Clothing,200
9023,Home,20
9024,Electronics,100
9025,Clothing,50
9026,Home,200
9027,Electronics,20
9028,Clothing,100
9029,Home,50
9030,Electronics,200
9031,Clothing,20
9032,Home,100
9033,Electronics,50
9034,Clothing,200
9035,Home,20
9036,Electronics,100
9037,Clothing,50
9038,Home,200
9039,Electronics,20
9040,Clothing,100
9041,Home,50
9042,Electronics,200
9043,Clothing,20
9044,Home,100
9045,Electronics,50
9046,Clothing,200
9047,Home,20
9048,Electronics,100
9049,Clothing,50
9050,Home,200
9051,Electronics,20
9052,Clothing,100
9053,Home,50
9054,Electronics,200
9055,Clothing,20
9056,Home,100
9057,Electronics,50
9058,Clothing,200
9059,Home,20
9060,Electronics,100
9061,Clothing,50
9062,Home,200
9063,Electronics,20
9064,Clothing,100
9065,Home,50
9066,Electronics,200
9067,Clothing,20
9068,Home,100
9069,Electronics,50
9070,Clothing,200
9071,Home,20
9072,Electronics,100
9073,Clothing,50
9074,Home,200
9075,Electronics,20
9076,Clothing,100
9077,Home,50
9078,Electronics,200
9079,Clothing,20
9080,Home,100
9081,Electronics,50
9082,Clothing,200
9083,Home,20
9084,Electronics,100
9085,Clothing,50
9086,Home,200
9087,Electronics,20
9088,Clothing,100
9089,Home,50
9090,Electronics,200
9091,Clothing,20
9092,Home,100
9093,Electronics,50
9094,Clothing,200
9095,Home,20
9096,Electronics,100
9097,Clothing,50
9098,Home,200
9099,Electronics,20
9100,Clothing,100
9101,Home,50
9102,Electronics,200
9103,Clothing,20
9104,Home,100
9105,Electronics,50
9106,Clothing,200
9107,Home,20
9108,Electronics,100
9109,Clothing,50
9110,Home,200
9111,Electronics,20
9112,Clothing,100
9113,Home,50
9114,Electronics,200
9115,Clothing,20
9116,Home,100
9117,Electronics,50
9118,Clothing,200
9119,Home,20
9120,Electronics,100
9121,Clothing,50
9122,Home,200
9123,Electronics,20
9124,Clothing,100
9125,Home,50
9126,Electronics,200
9127,Clothing,20
9128,Home,100
9129,Electronics,50
9130,Clothing,200
9131,Home,20
9132,Electronics,100
9133,Clothing,50
9134,Home,200
9135,Electronics,20
9136,Clothing,100
9137,Home,50
9138,Electronics,200
9139,Clothing,20
9140,Home,100
9141,Electronics,50
9142,Clothing,200
9143,Home,20
9144,Electronics,100
9145,Clothing,50
9146,Home,200
9147,Electronics,20
9148,Clothing,100
9149,Home,50
9150,Electronics,200
9151,Clothing,20
9152,Home,100
9153,Electronics,50
9154,Clothing,200
9155,Home,20
9156,Electronics,100
9157,Clothing,50
9158,Home,200
9159,Electronics,20
9160,Clothing,100
9161,Home,50
9162,Electronics,200
9163,Clothing,20
9164,Home,100
9165,Electronics,50
9166,Clothing,200
9167,Home,20
9168,Electronics,100
9169,Clothing,50
9170,Home,200
9171,Electronics,20
9172,Clothing,100
9173,Home,50
9174,Electronics,200
9175,Clothing,20
9176,Home,100
9177,Electronics,50
9178,Clothing,200
9179,Home,20
9180,Electronics,100
9181,Clothing,50
9182,Home,200
9183,Electronics,20
9184,Clothing,100
9185,Home,50
9186,Electronics,200
9187,Clothing,20
9188,Home,100
9189,Electronics,50
9190,Clothing,200
9191,Home,20
9192,Electronics,100
9193,Clothing,50
9194,Home,200
9195,Electronics,20
9196,Clothing,100
9197,Home,50
9198,Electronics,200
9199,Clothing,20
9200,Home,100
9201,Electronics,50
9202,Clothing,200
9203,Home,20
9204,Electronics,100
9205,Clothing,50
9206,Home,200
9207,Electronics,20
9208,Clothing,100
9209,Home,50
9210,Electronics,200
9211,Clothing,20
9212,Home,100
9213,Electronics,50
9214,Clothing,200
9215,Home,20
9216,Electronics,100
9217,Clothing,50
9218,Home,200
9219,Electronics,20
9220,Clothing,100
9221,Home,50
9222,Electronics,200
9223,Clothing,20
9224,Home,100
9225,Electronics,50
9226,Clothing,200
9227,Home,20
9228,Electronics,100
9229,Clothing,50
9230,Home,200
9231,Electronics,20
9232,Clothing,100
9233,Home,50
9234,Electronics,200
9235,Clothing,20
9236,Home,100
9237,Electronics,50
9238,Clothing,200
9239,Home,20
9240,Electronics,100
9241,Clothing,50
9242,Home,200
9243,Electronics,20
9244,Clothing,100
9245,Home,50
9246,Electronics,200
9247,Clothing,20
9248,Home,100
9249,Electronics,50
9250,Clothing,200
9251,Home,20
9252,Electronics,100
9253,Clothing,50
9254,Home,200
9255,Electronics,20
9256,Clothing,100
9257,Home,50
9258,Electronics,200
9259,Clothing,20
9260,Home,100
9261,Electronics,50
9262,Clothing,200
9263,Home,20
9264,Electronics,100
9265,Clothing,50
9266,Home,200
9267,Electronics,20
9268,Clothing,100
9269,Home,50
9270,Electronics,200
9271,Clothing,20
9272,Home,100
9273,Electronics,50
9274,Clothing,200
9275,Home,20
9276,Electronics,100
9277,Clothing,50
9278,Home,200
9279,Electronics,20
9280,Clothing,100
9281,Home,50
9282,Electronics,200
9283,Clothing,20
9284,Home,100
9285,Electronics,50
9286,Clothing,200
9287,Home,20
9288,Electronics,100
9289,Clothing,50
9290,Home,200
9291,Electronics,20
9292,Clothing,100
9293,Home,50
9294,Electronics,200
9295,Clothing,20
9296,Home,100
9297,Electronics,50
9298,Clothing,200
9299,Home,20
9300,Electronics,100
9301,Clothing,50
9302,Home,200
9303,Electronics,20
9304,Clothing,100
9305,Home,50
9306,Electronics,200
9307,Clothing,20
9308,Home,100
9309,Electronics,50
9310,Clothing,200
9311,Home,20
9312,Electronics,100
9313,Clothing,50
9314,Home,200
9315,Electronics,20
9316,Clothing,100
9317,Home,50
9318,Electronics,200
9319,Clothing,20
9320,Home,100
9321,Electronics,50
9322,Clothing,200
9323,Home,20
9324,Electronics,100
9325,Clothing,50
9326,Home,200
9327,Electronics,20
9328,Clothing,100
9329,Home,50
9330,Electronics,200
9331,Clothing,20
9332,Home,100
9333,Electronics,50
9334,Clothing,200
9335,Home,20
9336,Electronics,100
9337,Clothing,50
9338,Home,200
9339,Electronics,20
9340,Clothing,100
9341,Home,50
9342,Electronics,200
9343,Clothing,20
9344,Home,100
9345,Electronics,50
9346,Clothing,200
9347,Home,20
9348,Electronics,100
9349,Clothing,50
9350,Home,200
9351,Electronics,20
9352,Clothing,100
9353,Home,50
9354,Electronics,200
